"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00011","","","","26","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.846153846","","","","","","","",""
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00012","","","","26","18","2","2","6","6","29","20","5","1.2","11.4","3","3","2","1","7","5","1","1.94","1.79","0.86","27.1504631","37.75","19.27","26.37","","6.2","17.6","49","0.172413793","0.06","0.126530612","8.166666667","1.884615385","4.833333333","1.115384615","1.033333333","0.238461538","1.9","0.438461538","59.18367347","35.22727273","23.07692308","7.122507123","30.86419753","8.831908832","38.27160494","16.23931624","70.37037037","25.07122507","108.6419753"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00013","","","","26","20","1","1","9","8","16","27","3.4","3.1","14","5","5","8","3","3","8","5","3.76","2.11","1.2","29.9110527","62.37","4.96","7.09","9.37","6.5","20.5","43","0.2125","0.114814815","0.151162791","4.777777778","1.653846154","1.777777778","0.615384615","0.722222222","0.25","1.555555556","0.538461538","37.20930233","31.70731707","34.61538462","4.843304843","13.99176955","9.259259259","26.74897119","19.94301994","57.61316872","29.2022792","84.36213992"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00014","","","","26","20","1","1","12","12","19","50","3.2","1.8","8.2","7","5","6","1","9","5","1","2.16","1.95","0.86","39.7888565","30.62","18.42","25.38","6.07","5","13.2","69","0.168421053","0.036","0.072463768","5.75","2.653846154","1.583333333","0.730769231","0.416666667","0.192307692","0.683333333","0.315384615","27.53623188","37.87878788","46.15384615","4.558404558","9.87654321","7.122507123","15.43209877","11.68091168","25.30864198","18.8034188","40.74074074"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00015","","","","26","18","2","2","18","18","47","62","15","9","23.4","3","5","7","1","3","9","5","3.46","1.46","0.87","1.6965454","53.32","7.73","10.87","10.19","24","47.4","109","0.319148936","0.14516129","0.220183486","6.055555556","4.192307692","2.611111111","1.807692308","1.333333333","0.923076923","1.3","0.9","43.11926606","50.63291139","69.23076923","21.36752137","30.86419753","34.18803419","49.38271605","33.33333333","48.14814815","67.52136752","97.5308642"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00016","","","","26","23","1","1","16","16","39","37","11.2","4.2","22.1","3","5","3","3","4","7","4","2.06","1.48","0.77","22.6326714","53.12","10.78","14.79","3.32","15.4","37.5","76","0.287179487","0.113513514","0.202631579","4.75","2.923076923","2.4375","1.5","0.9625","0.592307692","1.38125","0.85","51.31578947","41.06666667","61.53846154","15.95441595","25.92592593","21.93732194","35.64814815","31.48148148","51.15740741","53.41880342","86.80555556"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00017","","","","26","17","2","2","10","10","34","41","4.9","4","16.7","1","5","3","1","5","5","5","3.15","1.79","1.06","48.5722046","50.19","6.82","9.57","13.54","8.9","25.6","75","0.144117647","0.097560976","0.118666667","7.5","2.884615385","3.4","1.307692308","0.89","0.342307692","1.67","0.642307692","45.33333333","34.765625","38.46153846","6.98005698","18.14814815","12.67806268","32.96296296","23.78917379","61.85185185","36.46723647","94.81481481"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00018","","","","26","18","1","1","12","12","30","42","7.2","4.7","12.2","3","5","5","1","6","6","3","2.13","1.34","0.84","30.2374401","56.01","11.13","15.41","1.19","11.9","24.1","72","0.24","0.111904762","0.165277778","6","2.769230769","2.5","1.153846154","0.991666667","0.457692308","1.016666667","0.469230769","41.66666667","49.37759336","46.15384615","10.25641026","22.22222222","16.95156695","36.72839506","17.37891738","37.65432099","34.33048433","74.38271605"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00019","","","","26","22","2","2","12","12","46","46","14","3.3","16.3","1","3","5","3","3","6","5","2.7","1.4","0.97","24.1672821","66.14","3.76","5.74","7.77","17.3","33.6","92","0.304347826","0.07173913","0.188043478","7.666666667","3.538461538","3.833333333","1.769230769","1.441666667","0.665384615","1.358333333","0.626923077","50","51.48809524","46.15384615","19.94301994","43.20987654","24.64387464","53.39506173","23.21937322","50.30864198","47.86324786","103.7037037"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00020","","","","26","21","4","4","6","6","7","9","0.9","1.2","1.1","5","5","3","1","9","6","1","","","","","","","","","2.1","3.2","16","0.128571429","0.133333333","0.13125","2.666666667","0.615384615","1.166666667","0.269230769","0.35","0.080769231","0.183333333","0.042307692","43.75","65.625","23.07692308","1.282051282","5.555555556","2.991452991","12.96296296","1.566951567","6.790123457","4.558404558","19.75308642"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00021","","","","26","20","1","1","8","8","13","26","4","3.2","4","5","5","5","1","7","8","1","2.79","1.3","0.8","1.7503351","63.41","7.95","11.12","0.14","7.2","11.2","39","0.307692308","0.123076923","0.184615385","4.875","1.5","1.625","0.5","0.9","0.276923077","0.5","0.153846154","33.33333333","64.28571429","30.76923077","5.698005698","18.51851852","10.25641026","33.33333333","5.698005698","18.51851852","15.95441595","51.85185185"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00022","","","","26","15","1","1","15","14","30","50","9","4.1","","","","","","","","","","","","","","","","","13.1","","80","0.3","0.082","0.16375","5.333333333","3.076923077","2","1.153846154","0.873333333","0.503846154","","","37.5","","57.69230769","12.82051282","22.22222222","18.66096866","32.34567901","","","",""
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00023","","","","26","21","3","3","3","3","0","4","0","0.9","11","1","3","6","1","7","5","1","2.23","1.24","0.64","22.3598557","45.43","12.29","16.76","9.42","0.9","11.9","4","","0.225","0.225","1.333333333","0.153846154","0","0","0.3","0.034615385","3.666666667","0.423076923","0","7.56302521","11.53846154","0","0","1.282051282","11.11111111","15.66951567","135.8024691","16.95156695","146.9135802"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00024","","","","26","22","3","3","13","10","43","38","12.1","3","11.3","5","3","3","3","5","5","5","2.97","1.6","1.02","19.2168999","54.09","5.59","7.95","14.25","15.1","26.4","81","0.281395349","0.078947368","0.186419753","6.230769231","3.115384615","3.307692308","1.653846154","1.161538462","0.580769231","0.869230769","0.434615385","53.08641975","57.1969697","50","17.23646724","34.47293447","21.50997151","43.01994302","16.0968661","32.19373219","37.60683761","75.21367521"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00025","","","","26","19","1","1","9","9","36","22","5.2","1.4","5.1","3","1","2","1","6","5","4","1.91","1.46","0.75","11.5707588","52.13","11.45","14.96","4.49","6.6","11.7","58","0.144444444","0.063636364","0.113793103","6.444444444","2.230769231","4","1.384615385","0.733333333","0.253846154","0.566666667","0.196153846","62.06896552","56.41025641","34.61538462","7.407407407","21.39917695","9.401709402","27.16049383","7.264957265","20.98765432","16.66666667","48.14814815"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00026","","","","26","18","2","1","13","7","7","20","1","1.2","6.1","6","5","3","1","7","3","1","","","","","","","","","2.2","8.3","27","0.142857143","0.06","0.081481481","2.076923077","1.038461538","0.538461538","0.269230769","0.169230769","0.084615385","0.469230769","0.234615385","25.92592593","26.5060241","50","1.424501425","2.849002849","3.133903134","6.267806268","8.689458689","17.37891738","11.82336182","23.64672365"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00027","","","","26","19","1","1","16","16","43","40","5.3","3.1","4.2","5","5","2","3","7","6","3","2.39","1.55","0.96","22.1846008","46.69","10.92","15.12","13.16","8.4","12.6","83","0.123255814","0.0775","0.101204819","5.1875","3.192307692","2.6875","1.653846154","0.525","0.323076923","0.2625","0.161538462","51.80722892","66.66666667","61.53846154","7.54985755","12.26851852","11.96581197","19.44444444","5.982905983","9.722222222","17.94871795","29.16666667"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00028","","","","26","21","2","2","6","6","5","13","0.7","0.2","1.2","7","5","3","1","8","3","3","","","","","","","","","0.9","2.1","18","0.14","0.015384615","0.05","3","0.692307692","0.833333333","0.192307692","0.15","0.034615385","0.2","0.046153846","27.77777778","42.85714286","23.07692308","0.997150997","4.320987654","1.282051282","5.555555556","1.709401709","7.407407407","2.991452991","12.96296296"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00029","","","","26","18","1","2","8","8","16","0","3","0","6.2","3","1","3","1","8","6","1","3.12","1.8","1.14","37.464138","52.28","6.03","8.78","12.27","3","9.2","16","0.1875","","0.1875","2","0.615384615","2","0.615384615","0.375","0.115384615","0.775","0.238461538","100","32.60869565","30.76923077","4.273504274","13.88888889","4.273504274","13.88888889","8.831908832","28.7037037","13.10541311","42.59259259"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00030","","","","26","17","1","1","7","3","9","7","0.2","0.1","4.9","5","5","2","1","5","6","5","1.85","1.03","0.82","7.1871986","64.34","5.73","7.85","5.54","0.3","5.2","16","0.022222222","0.014285714","0.01875","2.285714286","0.615384615","1.285714286","0.346153846","0.042857143","0.011538462","0.7","0.188461538","56.25","5.769230769","26.92307692","0.284900285","1.058201058","0.427350427","1.587301587","6.98005698","25.92592593","7.407407407","27.51322751"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00031","","","","26","14","1","1","11","11","30","39","8","4","8.2","3","5","5","1","5","5","5","1.77","1.47","0.66","16.6883545","54.81","9.86","13.39","3.52","12","20.2","69","0.266666667","0.102564103","0.173913043","6.272727273","2.653846154","2.727272727","1.153846154","1.090909091","0.461538462","0.745454545","0.315384615","43.47826087","59.40594059","42.30769231","11.3960114","26.93602694","17.09401709","40.4040404","11.68091168","27.60942761","28.77492877","68.01346801"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00032","","","","26","17","1","1","13","13","15","22","9","1.2","12.1","1","4","3","1","7","7","1","2.04","1.13","0.74","13.8499489","64.24","5.6","8.02","6.56","10.2","22.3","37","0.6","0.054545455","0.275675676","2.846153846","1.423076923","1.153846154","0.576923077","0.784615385","0.392307692","0.930769231","0.465384615","40.54054054","45.73991031","50","12.82051282","25.64102564","14.52991453","29.05982906","17.23646724","34.47293447","31.76638177","63.53276353"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00033","","","","26","20","1","2","10","10","36","21","8","2","11","1","1","1","1","5","5","5","2.73","1.36","0.87","116.0406189","59.42","5.57","7.76","8.61","10","21","57","0.222222222","0.095238095","0.175438596","5.7","2.192307692","3.6","1.384615385","1","0.384615385","1.1","0.423076923","63.15789474","47.61904762","38.46153846","11.3960114","29.62962963","14.24501425","37.03703704","15.66951567","40.74074074","29.91452991","77.77777778"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00034","","","","26","15","1","1","9","9","24","15","5","1.3","2.1","1","4","4","1","5","7","5","3.05","1.65","0.89","16.605238","54.35","10.66","14.96","3.03","6.3","8.4","39","0.208333333","0.086666667","0.161538462","4.333333333","1.5","2.666666667","0.923076923","0.7","0.242307692","0.233333333","0.080769231","61.53846154","75","34.61538462","7.122507123","20.57613169","8.974358974","25.92592593","2.991452991","8.641975309","11.96581197","34.56790123"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00035","","","","26","12","1","1","6","6","21","8","9","2","2.4","1","1","3","1","6","5","3","2.54","1.28","0.84","14.0088539","66.67","5.56","7.58","1.32","11","13.4","29","0.428571429","0.25","0.379310345","4.833333333","1.115384615","3.5","0.807692308","1.833333333","0.423076923","0.4","0.092307692","72.4137931","82.08955224","23.07692308","12.82051282","55.55555556","15.66951567","67.90123457","3.418803419","14.81481481","19.08831909","82.71604938"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00036","","","","26","12","3","3","2","2","7","6","1","0.1","1.2","1","3","6","1","9","7","1","3.02","1.66","0.97","39.2330551","52.42","6.91","9.58","10.09","1.1","2.3","13","0.142857143","0.016666667","0.084615385","6.5","0.5","3.5","0.269230769","0.55","0.042307692","0.6","0.046153846","53.84615385","47.82608696","7.692307692","1.424501425","18.51851852","1.566951567","20.37037037","1.709401709","22.22222222","3.276353276","42.59259259"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00037","","","","26","23","1","1","19","19","45","90","12","9","11.2","5","7","5","1","8","7","1","2.54","1.56","0.86","39.5140533","47.25","11.49","16.04","7.5","21","32.2","135","0.266666667","0.1","0.155555556","7.105263158","5.192307692","2.368421053","1.730769231","1.105263158","0.807692308","0.589473684","0.430769231","33.33333333","65.2173913","73.07692308","17.09401709","23.39181287","29.91452991","40.93567251","15.95441595","21.83235867","45.86894587","62.76803119"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00038","","","","26","22","1","1","9","9","19","10","6","2","3.4","1","3","5","4","5","9","5","2.86","1.38","0.55","75.4422302","49.6","13.03","17.79","2.37","8","11.4","29","0.315789474","0.2","0.275862069","3.222222222","1.115384615","2.111111111","0.730769231","0.888888889","0.307692308","0.377777778","0.130769231","65.51724138","70.1754386","34.61538462","8.547008547","24.69135802","11.3960114","32.9218107","4.843304843","13.99176955","16.23931624","46.91358025"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00039","","","","26","23","1","1","13","13","31","38","8.2","4.1","20.1","5","7","6","1","5","9","5","2.44","1.39","0.77","24.971983","50.79","8.48","11.86","12.63","12.3","32.4","69","0.264516129","0.107894737","0.17826087","5.307692308","2.653846154","2.384615385","1.192307692","0.946153846","0.473076923","1.546153846","0.773076923","44.92753623","37.96296296","50","11.68091168","23.36182336","17.52136752","35.04273504","28.63247863","57.26495726","46.15384615","92.30769231"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00040","","","","26","18","1","1","13","13","26","67","10","3.1","11.2","5","5","5","1","7","6","1","2.07","1.45","0.63","20.9951706","49.99","13.95","19.64","1.58","13.1","24.3","93","0.384615385","0.046268657","0.140860215","7.153846154","3.576923077","2","1","1.007692308","0.503846154","0.861538462","0.430769231","27.95698925","53.90946502","50","14.24501425","28.49002849","18.66096866","37.32193732","15.95441595","31.90883191","34.61538462","69.23076923"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00041","","","","26","12","1","2","5","5","5","14","2","0.4","4.2","5","5","3","1","7","7","3","2.23","1.52","0.94","21.7618523","61.49","8.07","10.74","0.7","2.4","6.6","19","0.4","0.028571429","0.126315789","3.8","0.730769231","1","0.192307692","0.48","0.092307692","0.84","0.161538462","26.31578947","36.36363636","19.23076923","2.849002849","14.81481481","3.418803419","17.77777778","5.982905983","31.11111111","9.401709402","48.88888889"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00042","","","","26","17","1","2","11","11","54","32","6.2","1.2","5.2","3","3","5","3","7","5","3","1.96","1.21","0.64","9.054945","55.2","10.31","14.28","4.97","7.4","12.6","86","0.114814815","0.0375","0.086046512","7.818181818","3.307692308","4.909090909","2.076923077","0.672727273","0.284615385","0.472727273","0.2","62.79069767","58.73015873","42.30769231","8.831908832","20.87542088","10.54131054","24.91582492","7.407407407","17.50841751","17.94871795","42.42424242"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00043","","","","26","18","1","2","8","8","23","8","4.1","0.2","14.3","4","3","3","1","3","5","5","2.83","1.7","1.03","42.3343582","52.2","8.84","12.51","8.35","4.3","18.6","31","0.17826087","0.025","0.138709677","3.875","1.192307692","2.875","0.884615385","0.5375","0.165384615","1.7875","0.55","74.19354839","23.11827957","30.76923077","5.84045584","18.98148148","6.125356125","19.90740741","20.37037037","66.2037037","26.4957265","86.11111111"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00044","","","","26","13","2","1","8","8","13","12","3.9","0.3","4","5","5","4","1","3","8","6","2.14","1.55","0.83","32.14888","52.48","9.17","12.44","9.34","4.2","8.2","25","0.3","0.025","0.168","3.125","0.961538462","1.625","0.5","0.525","0.161538462","0.5","0.153846154","52","51.2195122","30.76923077","5.555555556","18.05555556","5.982905983","19.44444444","5.698005698","18.51851852","11.68091168","37.96296296"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00045","","","","26","22","1","1","4","4","6","8","0.3","0.8","1.3","3","3","1","1","7","7","1","2.86","1.42","0.66","41.5326576","57.43","7.06","9.77","12.29","1.1","2.4","14","0.05","0.1","0.078571429","3.5","0.538461538","1.5","0.230769231","0.275","0.042307692","0.325","0.05","42.85714286","45.83333333","15.38461538","0.427350427","2.777777778","1.566951567","10.18518519","1.851851852","12.03703704","3.418803419","22.22222222"
