LABEL	NAME	UNIQUENAME	GENOTYPE	SYNONYM1	SYNONYM2	PLOIDY	INSTITUTE	GERMPLASM_GROUP	CURATOR	PROJECT_NAME	CATEGORY	PROJECT_TYPE	YEAR	PROJECT_DESCRIPTION	LOCATION	LOCATION_CODE
1	10-NC99-524-1					6	Mozambique-CIP		bdeboeck							
2	10-NC99-524-2					6	Mozambique-CIP		bdeboeck							
3	10-NC99-524-3					6	Mozambique-CIP		bdeboeck							
4	10-NC99-524-4					6	Mozambique-CIP		bdeboeck							
5	10-NC99-524-5					6	Mozambique-CIP		bdeboeck							
6	10-NC99-524-6					6	Mozambique-CIP		bdeboeck							
7	10-NC99-524-7					6	Mozambique-CIP		bdeboeck							
8	10-NC99-524-8					6	Mozambique-CIP		bdeboeck							
9	11-Hernandes-1					6	Mozambique-CIP		bdeboeck							
10	11-Hernandes-2					6	Mozambique-CIP		bdeboeck							
11	11-Hernandes-3					6	Mozambique-CIP		bdeboeck							
12	11-Hernandes-4					6	Mozambique-CIP		bdeboeck							
13	11-Hernandes-5					6	Mozambique-CIP		bdeboeck							
14	11-Hernandes-6					6	Mozambique-CIP		bdeboeck							
15	11-Hernandes-7					6	Mozambique-CIP		bdeboeck							
16	12-Hernandes-1					6	Mozambique-CIP		bdeboeck							
17	12-Hernandes-2					6	Mozambique-CIP		bdeboeck							
18	12-Hernandes-3					6	Mozambique-CIP		bdeboeck							
19	12-Hernandes-4					6	Mozambique-CIP		bdeboeck							
20	13-NC9350A-1					6	Mozambique-CIP		bdeboeck							
21	13-NC9350A-10					6	Mozambique-CIP		bdeboeck							
22	13-NC9350A-11					6	Mozambique-CIP		bdeboeck							
23	13-NC9350A-12					6	Mozambique-CIP		bdeboeck							
24	13-NC9350A-13					6	Mozambique-CIP		bdeboeck							
25	13-NC9350A-14					6	Mozambique-CIP		bdeboeck							
26	13-NC9350A-15					6	Mozambique-CIP		bdeboeck							
27	13-NC9350A-2					6	Mozambique-CIP		bdeboeck							
28	13-NC9350A-3					6	Mozambique-CIP		bdeboeck							
29	13-NC9350A-4					6	Mozambique-CIP		bdeboeck							
30	13-NC9350A-5					6	Mozambique-CIP		bdeboeck							
31	13-NC9350A-6					6	Mozambique-CIP		bdeboeck							
32	13-NC9350A-7					6	Mozambique-CIP		bdeboeck							
33	13-NC9350A-8					6	Mozambique-CIP		bdeboeck							
34	13-NC9350A-9					6	Mozambique-CIP		bdeboeck							
35	18-NC99-524-1					6	Mozambique-CIP		bdeboeck							
36	18-NC99-524-2					6	Mozambique-CIP		bdeboeck							
37	18-NC99-524-3					6	Mozambique-CIP		bdeboeck							
38	18-NC99-524-4					6	Mozambique-CIP		bdeboeck							
39	199005.11XResisto-118					6	Mozambique-CIP		bdeboeck							
40	199005.11XResisto-44					6	Mozambique-CIP		bdeboeck							
41	199005.11XResisto-48					6	Mozambique-CIP		bdeboeck							
42	199005.11XResisto-67					6	Mozambique-CIP		bdeboeck							
43	1998-12-3-2					6	Mozambique-CIP		bdeboeck							
44	1998-12-3xResisto-134					6	Mozambique-CIP		bdeboeck							
45	1998-12-3XResisto-157					6	Mozambique-CIP		bdeboeck							
46	1998-12-3XResisto-179					6	Mozambique-CIP		bdeboeck							
47	1998-12-3XResisto-2					6	Mozambique-CIP		bdeboeck							
48	1998-12-3XResisto-65					6	Mozambique-CIP		bdeboeck							
49	2000-10-17-1					6	Mozambique-CIP		bdeboeck							
50	2000-10-17-2					6	Mozambique-CIP		bdeboeck							
51	2003-17-05-1					6	Mozambique-CIP		bdeboeck							
52	2003-17-05-2					6	Mozambique-CIP		bdeboeck							
53	2003-17-05-3					6	Mozambique-CIP		bdeboeck							
54	26-Beauregard-1					6	Mozambique-CIP		bdeboeck							
55	5-NC99-524-1					6	Mozambique-CIP		bdeboeck							
56	5-NC99-524-2					6	Mozambique-CIP		bdeboeck							
57	5-NC99-524-3					6	Mozambique-CIP		bdeboeck							
58	6-NC99-524-1					6	Mozambique-CIP		bdeboeck							
59	6-NC99-524-2					6	Mozambique-CIP		bdeboeck							
60	6-NC99-524-3					6	Mozambique-CIP		bdeboeck							
61	6-NC99-524-4					6	Mozambique-CIP		bdeboeck							
62	6-NC99-524-5					6	Mozambique-CIP		bdeboeck							
63	6-NC99-524-6					6	Mozambique-CIP		bdeboeck							
64	7-NC9350A-1					6	Mozambique-CIP		bdeboeck							
65	7-NC9350A-2					6	Mozambique-CIP		bdeboeck							
66	7-NC9350A-3					6	Mozambique-CIP		bdeboeck							
67	7-NC9350A-4					6	Mozambique-CIP		bdeboeck							
68	7-NC9350A-5					6	Mozambique-CIP		bdeboeck							
69	7-NC9350A-6					6	Mozambique-CIP		bdeboeck							
70	7-NC9350A-7					6	Mozambique-CIP		bdeboeck							
71	8-NC9350A-1					6	Mozambique-CIP		bdeboeck							
72	8-NC9350A-2					6	Mozambique-CIP		bdeboeck							
73	8-NC9350A-3					6	Mozambique-CIP		bdeboeck							
74	8-NC9350A-4					6	Mozambique-CIP		bdeboeck							
75	8-NC9350A-5					6	Mozambique-CIP		bdeboeck							
76	8-NC9350A-6					6	Mozambique-CIP		bdeboeck							
77	8-NC9350A-7					6	Mozambique-CIP		bdeboeck							
78	91/282-1/35					6	Ghana-CIP		bdeboeck							
79	98-21-1-1					6	Mozambique-CIP		bdeboeck							
80	Abees					6	Ghana-CIP		bdeboeck							
81	Admarc					6	Mozambique-CIP		bdeboeck							
82	Adriano					6	Peru-CIP		bdeboeck							
83	Alexander					6	Peru-CIP		bdeboeck							
84	Alisha					6	Mozambique-CIP		bdeboeck							
85	Amelia	Maphutha-1				6	Uganda-CIP		bdeboeck							
86	AP3A	CRI-Gavana	 10.001-10			6	Ghana-CIP		bdeboeck							
87	APA323	PU2014_A39				6	Uganda-CIP		bdeboeck							
88	APA335	PU2014_A38				6	Uganda-CIP		bdeboeck							
89	APA352	PU2014_A27				6	Uganda-CIP		bdeboeck							
90	APA356	PU2014_B28				6	Uganda-CIP		bdeboeck							
91	Araka_white					6	Uganda-CIP		bdeboeck							
92	Atacama					6	Peru-CIP		bdeboeck							
93	Atacana					6	Mozambique-CIP		bdeboeck							
94	AVRDC-CN_1448-59					6	Ghana-CIP		bdeboeck							
95	Awassa-83					6	Ghana-CIP		bdeboeck							
96	Beauregard	PU2014_B72	 B94-14			6	Uganda-CIP		bdeboeck							
